sweep,energy_per_spin,abs_magnetization_per_spin
595,-1.8281250000,0.9453125000
596,-1.9218750000,0.9765625000
597,-1.8437500000,0.9531250000
598,-1.7187500000,0.8984375000
599,-1.8281250000,0.9296875000
600,-1.8281250000,0.9453125000
601,-1.9375000000,0.9843750000
602,-1.8750000000,0.9687500000
603,-1.8750000000,0.9609375000
604,-1.7968750000,0.9453125000
605,-1.6250000000,0.8906250000
606,-1.5312500000,0.8281250000
607,-1.5781250000,0.8515625000
608,-1.7656250000,0.9375000000
609,-1.6875000000,0.8906250000
610,-1.8281250000,0.9375000000
611,-1.6875000000,0.8515625000
612,-1.7031250000,0.8515625000
613,-1.7031250000,0.8984375000
614,-1.6875000000,0.9062500000
615,-1.9531250000,0.9843750000
616,-1.8125000000,0.9453125000
617,-1.7343750000,0.9062500000
618,-1.7187500000,0.9062500000
619,-1.8125000000,0.9453125000
620,-1.8281250000,0.9453125000
621,-1.6875000000,0.9062500000
622,-1.8750000000,0.9687500000
623,-1.8125000000,0.9453125000
624,-1.7343750000,0.9296875000
625,-1.8125000000,0.9453125000
626,-1.8593750000,0.9609375000
627,-1.8125000000,0.9375000000
628,-1.7812500000,0.9453125000
629,-1.6875000000,0.8984375000
630,-1.7187500000,0.9140625000
631,-1.8281250000,0.9531250000
632,-1.6875000000,0.8984375000
633,-1.6875000000,0.8437500000
634,-1.3750000000,0.7187500000
635,-1.5000000000,0.7812500000
636,-1.5781250000,0.8203125000
637,-1.7031250000,0.8671875000
638,-1.7656250000,0.8906250000
639,-1.7343750000,0.9218750000
640,-1.8125000000,0.9453125000
641,-1.8437500000,0.9531250000
642,-1.7500000000,0.9218750000
643,-1.7656250000,0.9218750000
644,-1.8281250000,0.9531250000
645,-1.7656250000,0.9218750000
646,-1.6406250000,0.8750000000
647,-1.6406250000,0.8515625000
648,-1.6093750000,0.8281250000
649,-1.7031250000,0.8984375000
650,-1.7500000000,0.9218750000
651,-1.9375000000,0.9843750000
652,-1.8750000000,0.9609375000
653,-1.6718750000,0.8906250000
654,-1.6562500000,0.9062500000
655,-1.8437500000,0.9218750000
656,-1.7031250000,0.8750000000
657,-1.7968750000,0.9453125000
658,-1.5625000000,0.8359375000
659,-1.4218750000,0.7578125000
660,-1.3281250000,0.7578125000
661,-1.6093750000,0.8359375000
662,-1.6093750000,0.8593750000
663,-1.5937500000,0.8281250000
664,-1.5937500000,0.8515625000
665,-1.7500000000,0.8906250000
666,-1.8593750000,0.9453125000
667,-1.7031250000,0.9062500000
668,-1.6406250000,0.8906250000
669,-1.6875000000,0.8984375000
670,-1.7187500000,0.8671875000
671,-1.6718750000,0.8593750000
672,-1.7656250000,0.9140625000
673,-1.7968750000,0.9453125000
674,-1.9062500000,0.9765625000
675,-1.7812500000,0.9375000000
676,-1.8593750000,0.9531250000
677,-1.8281250000,0.9531250000
678,-1.7656250000,0.9375000000
679,-1.8281250000,0.9453125000
680,-1.7187500000,0.9218750000
681,-1.8437500000,0.9531250000
682,-1.7500000000,0.9296875000
683,-1.8437500000,0.9453125000
684,-1.7187500000,0.8984375000
685,-1.7968750000,0.9453125000
686,-1.6875000000,0.8906250000
687,-1.6250000000,0.8828125000
688,-1.7656250000,0.9218750000
689,-1.6718750000,0.9140625000
690,-1.8125000000,0.9531250000
691,-1.7968750000,0.9453125000
692,-1.7343750000,0.9296875000
693,-1.7812500000,0.9375000000
694,-1.8750000000,0.9687500000
695,-1.8125000000,0.9453125000
696,-1.7812500000,0.9296875000
697,-1.7812500000,0.9453125000
698,-1.8906250000,0.9687500000
699,-1.7656250000,0.9375000000
700,-1.7031250000,0.8828125000
701,-1.7343750000,0.9062500000
702,-1.6562500000,0.8984375000
703,-1.7656250000,0.9375000000
704,-1.8125000000,0.9531250000
705,-1.7812500000,0.9375000000
706,-1.8281250000,0.9453125000
707,-1.8125000000,0.9453125000
708,-1.8750000000,0.9687500000
709,-1.8750000000,0.9375000000
710,-1.6875000000,0.8750000000
711,-1.6562500000,0.8593750000
712,-1.6250000000,0.8437500000
713,-1.6562500000,0.8671875000
714,-1.8281250000,0.9296875000
715,-1.6875000000,0.8984375000
716,-1.6875000000,0.9140625000
717,-1.6718750000,0.9062500000
718,-1.7968750000,0.9218750000
719,-1.8281250000,0.9531250000
720,-1.8125000000,0.9453125000
721,-1.7343750000,0.9062500000
722,-1.8593750000,0.9531250000
723,-1.9687500000,0.9921875000
724,-1.8593750000,0.9531250000
725,-1.7500000000,0.9296875000
726,-1.7343750000,0.9218750000
727,-1.8437500000,0.9453125000
728,-1.6093750000,0.8593750000
729,-1.6875000000,0.8984375000
730,-1.7656250000,0.9375000000
731,-1.7500000000,0.9218750000
732,-1.9375000000,0.9843750000
733,-1.8437500000,0.9453125000
734,-1.6562500000,0.8828125000
735,-1.6562500000,0.8906250000
736,-1.8750000000,0.9687500000
737,-1.9687500000,0.9921875000
738,-1.8281250000,0.9531250000
739,-1.7500000000,0.9140625000
740,-1.6250000000,0.8437500000
741,-1.7500000000,0.8593750000
742,-1.6406250000,0.8750000000
743,-1.7968750000,0.9218750000
744,-1.7343750000,0.9218750000
745,-1.8437500000,0.9453125000
