sweep,energy_per_spin,abs_magnetization_per_spin
316,-1.6875000000,0.9062500000
317,-1.6406250000,0.8906250000
318,-1.7812500000,0.9218750000
319,-1.7968750000,0.9453125000
320,-1.7656250000,0.9296875000
321,-1.7656250000,0.9218750000
322,-1.7812500000,0.9453125000
323,-1.7500000000,0.9296875000
324,-1.7343750000,0.9218750000
325,-1.7812500000,0.9453125000
326,-1.8750000000,0.9531250000
327,-1.8750000000,0.9609375000
328,-1.8125000000,0.9453125000
329,-1.7812500000,0.9296875000
330,-1.7656250000,0.9296875000
331,-1.7343750000,0.9296875000
332,-1.8593750000,0.9609375000
333,-1.7968750000,0.9375000000
334,-1.7500000000,0.9218750000
335,-1.8593750000,0.9453125000
336,-1.7656250000,0.9375000000
337,-1.7187500000,0.9218750000
338,-1.7968750000,0.9453125000
339,-1.9687500000,0.9921875000
340,-1.8281250000,0.9531250000
341,-1.6718750000,0.9140625000
342,-1.7187500000,0.9140625000
343,-1.7968750000,0.9453125000
344,-1.6875000000,0.9140625000
345,-1.7656250000,0.9218750000
346,-1.8906250000,0.9687500000
347,-1.9062500000,0.9687500000
348,-1.8125000000,0.9375000000
349,-1.7500000000,0.9296875000
350,-1.7812500000,0.9296875000
351,-1.9062500000,0.9765625000
352,-1.7500000000,0.9062500000
353,-1.7968750000,0.9296875000
354,-1.8437500000,0.9531250000
355,-1.9375000000,0.9843750000
356,-1.8437500000,0.9531250000
357,-1.8125000000,0.9453125000
358,-1.8437500000,0.9609375000
359,-1.7187500000,0.9218750000
360,-1.6718750000,0.8984375000
361,-1.7656250000,0.9218750000
362,-1.7812500000,0.9375000000
363,-1.7187500000,0.8906250000
364,-1.7187500000,0.8984375000
365,-1.7656250000,0.9140625000
366,-1.6718750000,0.8828125000
367,-1.8125000000,0.9531250000
368,-1.8281250000,0.9375000000
369,-1.8437500000,0.9531250000
370,-1.7812500000,0.9453125000
371,-1.7656250000,0.9296875000
372,-1.6875000000,0.9140625000
